work_id,category,state,ida,mp_name,constituency,work_desc,recommended_date,sanction_date,sanctioned_amount,status,sanction_delay_days,ml_predicted_cost,deviation_pct,mod_z_score,agency_median_deviation
156924.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Construction of CC road at Mangasandra Village of Arabi Kothanur GP.,2024-12-10,2025-05-08,495000.0,Work partially Completed,149.0,280539.0497615565,0.7644602433091724,-0.2829543059135973,-0.0653355524516997
156925.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Establishment of Hi-Mast Light in SC Colony at Chanjimale Village of Seethi GP.,2024-12-10,2025-03-18,495000.0,Work partially Completed,98.0,582601.909577016,-0.15036323797945883,-0.2829543059135973,-0.0653355524516997
156926.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Construction of CC road from Dobi Narayanappa's house to Sri Thimmarayaswamy Temple at Kolathammanahalli Village of Begli Hosahalli GP.,2024-12-10,2025-03-18,495000.0,Work partially Completed,98.0,885632.6612798347,-0.441077523852077,-0.2829543059135973,-0.0653355524516997
156927.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Establishment of Hi-Mast Light nearby Maremma Temple at Ammerahalli Village of Kondarajanahalli GP.,2024-12-10,2025-03-18,495000.0,Work partially Completed,98.0,583975.2010916239,-0.152361266240934,-0.2829543059135973,-0.0653355524516997
156928.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Construction of CC road at from Guttahalli Venkateshappa's house to Subbanna's house and Maremma Temple to Puttamma's house at Begli Hosahalli Village of Begli Hosahalli GP.,2024-12-10,2025-03-18,495000.0,Work partially Completed,98.0,307676.7736139695,0.6088312230583187,-0.2829543059135973,-0.0653355524516997
156929.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Establishment of Hi-Mast Light nearby RO Water Plant at Singondahalli Village of Begli Hosahalli GP.,2024-12-10,2025-03-18,495000.0,Work partially Completed,98.0,484688.30706665,0.02127489519142044,-0.2829543059135973,-0.0653355524516997
156993.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),"Construction of CC Road from Govindappa's house to Renukappa,s house at Bellavi Village of Thornahalli GP",2024-12-10,2025-07-29,495000.0,Work partially Completed,231.0,283849.75721893326,0.7438803007966168,-0.2829543059135973,-0.0653355524516997
156994.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Construction of CC Road in SC Colony at Bitnahalli Village of Masthi GP,2024-12-10,2025-07-29,495000.0,Work partially Completed,231.0,283837.5972349372,0.7439550109715737,-0.2829543059135973,-0.0653355524516997
156995.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Construction of CC Road from Anandachari's house to SC Colony at Sorakayalahalli Village of Dinnahalli GP,2024-12-10,2025-07-29,495000.0,Work partially Completed,231.0,435374.3709273944,0.1369525471735889,-0.2829543059135973,-0.0653355524516997
156996.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Construction of CC Road from Panamakanahalli-Pudashettyhalli road to Saibaba temple at Panamakanahalli Village of Kondashettyhalli GP,2024-12-10,2025-07-29,200000.0,Work partially Completed,231.0,299331.7482409956,-0.33184501418480483,-0.2829543059135973,-0.0653355524516997
156997.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Development of Ballahalli's Busstop road at Ballahalli Village of Tekal GP,2024-12-10,2025-12-18,495000.0,Work partially Completed,373.0,332570.51631436095,0.4884061446147656,-0.2829543059135973,-0.0653355524516997
156998.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Development of Adikarahatti-Huladenahalli road,2024-12-10,2025-07-29,300000.0,Work partially Completed,231.0,450915.43887550215,-0.33468678573494115,-0.2829543059135973,-0.0653355524516997
156999.0,Normal/Others,KARNATAKA,KOLAR(DEPUTY COMMISSIONER KOLAR_IDA),M. MALLESH BABU,KOLAR(SC),Construction of CC Road nearby Kodur Busstop at Kodur Village of Lakkur GP,2024-12-10,2025-07-29,300000.0,Work partially Completed,231.0,320970.8048561428,-0.0653355524516997,-0.2829543059135973,-0.0653355524516997
