work_id,category,state,ida,mp_name,constituency,work_desc,recommended_date,sanction_date,sanctioned_amount,status,sanction_delay_days,latitude,longitude,risk_score
133166.0,Normal/Others,KARNATAKA,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,2024-07-08,2024-07-09,497185.0,Physical Inspection,1.0,14.247240713084175,77.82712501428145,HIGH_RISK
133308.0,Normal/Others,KARNATAKA,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67,2024-07-09,2024-08-17,399304.0,Physical Inspection,39.0,12.123506965774816,74.81922136067041,NORMAL
145673.0,Normal/Others,KARNATAKA,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR C N MANJUNATH,BANGALORE RURAL,"Construction of bus-sheds or bus-stops at Agalakote Village Gate, Agalakote Grama panchayath, Magadi Taluk, Ramanagara District, Karnataka",2024-10-05,2025-03-11,500000.0,Work partially Completed,157.0,12.20633112669131,74.88919118807154,HIGH_RISK
148097.0,Normal/Others,KARNATAKA,Bengaluru South(DEPUTY COMMISSIONER RAMANAGARA_IDA),DR C N MANJUNATH,BANGALORE RURAL,"Construction of Road to Dr. B.R Ambedkar Residential School, Gunnur, Hulikere-Gunnur Grama Panchayath, Ramanagara Taluk & District, Karnataka State.",2024-10-17,2025-02-20,500000.0,Physical Inspection,126.0,16.813181884524237,76.33084245459553,HIGH_RISK
